rnd,Pick,Tm,Pos,To,CarAV,DrAV
1,1,ARI,QB,2020,30,30
1,2,SFO,DE,2020,12,12
1,3,NYJ,DT,2020,12,12
1,4,OAK,DE,2020,11,11
1,5,TAM,LB,2020,22,22
1,6,NYG,QB,2020,17,17
1,7,JAX,LB,2020,9,9
1,8,DET,TE,2020,9,9
1,9,BUF,DT,2020,13,13
1,10,PIT,LB,2020,12,12
1,11,CIN,G,2020,4,4
1,12,GNB,LB,2020,5,5
1,13,MIA,DT,2020,13,13
1,14,ATL,G,2020,10,10
1,15,WAS,QB,2020,3,3
1,16,CAR,DE,2020,12,12
1,17,NYG,DT,2020,15,15
1,18,MIN,C,2020,16,16
1,19,TEN,DT,2020,11,11
1,20,DEN,TE,2020,8,8
1,21,GNB,S,2020,11,11
1,22,PHI,T,2019,3,3
1,23,HOU,T,2020,12,12
1,24,OAK,RB,2020,16,16
1,25,BAL,WR,2020,17,17
1,26,WAS,DE,2020,16,16
1,27,OAK,S,2020,5,5
1,28,LAC,DT,2020,8,8
1,29,SEA,DE,2020,8,8
1,30,NYG,CB,2020,5,5
1,31,ATL,T,2020,16,16
1,32,NWE,WR,2020,4,4
2,33,ARI,CB,2020,9,9
2,34,IND,CB,2020,8,8
2,35,JAX,T,2020,14,14
2,36,SFO,WR,2020,12,12
2,37,CAR,T,2020,3,3
2,38,BUF,T,2020,11,11
2,39,TAM,CB,2020,11,11
2,40,OAK,CB,2020,9,9
2,41,DEN,T,2020,12,12
2,42,DEN,QB,2020,8,8
2,43,DET,LB,2020,8,8
2,44,GNB,C,2020,19,19
2,45,NWE,CB,2020,2,2
2,46,CLE,CB,2019,4,4
2,47,SEA,S,2020,2,2
2,48,NOR,C,2020,15,15
2,49,IND,LB,2020,2,2
2,50,MIN,TE,2020,6,6
2,51,TEN,WR,2020,23,23
2,52,CIN,TE,2020,2,2
2,53,PHI,RB,2020,14,14
2,54,HOU,CB,2020,5,5
2,55,HOU,T,2020,13,13
2,56,KAN,WR,2020,13,13
2,57,PHI,WR,2020,2,2
2,58,DAL,DT,2020,3,3
2,59,IND,WR,2020,2,2
2,60,LAC,S,2020,5,5
2,61,LAR,S,2020,8,8
